"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"185","bmg2024hvbq","2024-04-21T03:25:46.704821Z","-9.535721778869629","117.79657745361328","3.600984532097916","M","20","36","192.2834701538086","Sumbawa Region, Indonesia","BMKG"
"186","bmg2024huwo","2024-04-21T00:52:24.552106Z","-1.6199368238449097","120.14186096191406","2.6123180728599187","M","10","18","73.8228759765625","Sulawesi, Indonesia","BMKG"
"187","bmg2024huoj","2024-04-20T20:43:24.064007Z","3.805093288421631","126.6763916015625","3.523989609945026","M","30","21","136.75244140625","Talaud Islands, Indonesia","BMKG"
"188","bmg2024hujf","2024-04-20T18:07:07.169197Z","-0.32804158329963684","99.05224609375","3.182013712148686","M","21","31","104.16253662109375","Southern Sumatra, Indonesia","BMKG"
"189","bmg2024hugc","2024-04-20T16:33:33.679028Z","-0.37507519125938416","123.58352661132812","2.868494560062264","M","22","24","110.41516494750977","Minahassa Peninsula, Sulawesi","BMKG"
"190","bmg2024hubq","2024-04-20T14:17:34.603406Z","0.34848296642303467","122.0264892578125","3.1899096929638415","M","162","41","61.9712963104248","Minahassa Peninsula, Sulawesi","BMKG"
"191","bmg2024htzn","2024-04-20T13:13:17.907424Z","-0.37694329023361206","123.7158432006836","3.3195222018992547","M","91","120","51.22176361083984","Minahassa Peninsula, Sulawesi","BMKG"
"192","bmg2024htxo","2024-04-20T12:14:38.107056Z","1.272651195526123","126.45648193359375","3.368399092816367","M","150","36","99.03378677368164","Northern Molucca Sea","BMKG"
"193","bmg2024htwv","2024-04-20T11:52:28.307367Z","-8.2896089553833","117.98920440673828","3.4995398263806963","M","3","150","42.9483585357666","Sumbawa Region, Indonesia","BMKG"
"194","bmg2024htwl","2024-04-20T11:40:08.862328Z","0.4564273357391357","126.30113983154297","3.446092788277417","M","10","70","76.94676208496094","Northern Molucca Sea","BMKG"
"195","bmg2024htwf","2024-04-20T11:33:18.911654Z","0.5330581068992615","126.27484893798828","3.5877264362115326","M","53","72","75.60877990722656","Northern Molucca Sea","BMKG"
"196","bmg2024htio","2024-04-20T04:39:18.110714Z","-4.465818405151367","129.5233154296875","4.537578020067727","M","174","70","46.23451232910156","Banda Sea","BMKG"
"197","bmg2024htaq","2024-04-20T00:39:01.758708Z","4.898416042327881","126.90768432617188","4.425665531564694","M","53","65","168.9633331298828","Talaud Islands, Indonesia","BMKG"
"198","bmg2024hsst","2024-04-19T20:40:30.599807Z","-8.94194221496582","110.40385437011719","3.8893392651397676","M","11","90","222.6683578491211","Java, Indonesia","BMKG"
"199","bmg2024hssr","2024-04-19T20:38:21.708507Z","-9.13221263885498","110.44843292236328","4.667864331024068","M","10","168","199.61461639404297","South of Java, Indonesia","BMKG"
"200","bmg2024hsqj","2024-04-19T19:27:49.764635Z","-0.7887827754020691","99.0071792602539","4.453129006331957","M","25","174","130.43829345703125","Southern Sumatra, Indonesia","BMKG"
"201","bmg2024hsog","2024-04-19T18:24:22.082808Z","-2.820838212966919","122.29486083984375","3.7518818854142366","M","6","141","74.94141387939453","Sulawesi, Indonesia","BMKG"
"202","bmg2024hrxo","2024-04-19T09:58:15.007643Z","1.0543901920318604","126.88024139404297","3.3302642358736825","M","20","19","120.00534057617188","Northern Molucca Sea","BMKG"
"203","bmg2024hrsy","2024-04-19T07:37:37.667201Z","-9.994407653808594","119.81295013427734","2.6904306307101673","M","28","11","189.63134765625","Sumba Region, Indonesia","BMKG"
"204","bmg2024hrsl","2024-04-19T07:22:54.782156Z","-2.906545639038086","119.3763885498047","3.394129455547706","MLv","10","62","69.25912475585938","Sulawesi, Indonesia","BMKG"
"205","bmg2024hrpu","2024-04-19T06:02:04.922623Z","1.5091733932495117","124.89690399169922","4.3649784676084433","M","206","48","105.71253108978271","Minahassa Peninsula, Sulawesi","BMKG"
"206","bmg2024hrps","2024-04-19T06:00:00.76903Z","-9.132471084594727","110.54042053222656","3.026787558300225","M","10","19","289.68352127075195","South of Java, Indonesia","BMKG"
"207","bmg2024hrhe","2024-04-19T01:41:29.957559Z","-9.382694244384766","112.9126205444336","3.5170673983170135","M","20","30","222.68666076660156","South of Java, Indonesia","BMKG"
"208","bmg2024hree","2024-04-19T00:10:14.82819Z","-3.282464027404785","123.4692153930664","3.6095040405371694","M","37","33","114.27552795410156","Sulawesi, Indonesia","BMKG"
"209","bmg2024hquh","2024-04-18T19:10:47.973571Z","-8.381145477294922","116.2446746826172","2.6024860189099175","M","4","34","122.6448974609375","Sumbawa Region, Indonesia","BMKG"
"210","bmg2024hqua","2024-04-18T19:02:53.216567Z","-8.089879989624023","117.67254638671875","3.1186052452495865","M","8","63","81.16555213928223","Sumbawa Region, Indonesia","BMKG"
"211","bmg2024hqrf","2024-04-18T17:37:04.080286Z","-8.064208984375","124.41228485107422","3.0003773155680307","M","182","46","143.828857421875","Timor Region","BMKG"
"212","bmg2024hqks","2024-04-18T14:20:46.000721Z","-5.777413368225098","112.35114288330078","3.3164708819801976","M","5","35","218.12582397460938","Java Sea","BMKG"
"213","bmg2024hqkm","2024-04-18T14:13:47.547791Z","-1.4188578128814697","134.74351501464844","3.194857350921833","M","12","26","117.45190811157227","West Papua Region, Indonesia","BMKG"
"214","bmg2024hqjd","2024-04-18T13:32:39.72661Z","0.8916652798652649","119.34158325195312","2.9447252328480804","M","5","17","134.1665496826172","Minahassa Peninsula, Sulawesi","BMKG"
"215","bmg2024hpui","2024-04-18T06:03:40.996839Z","-0.7892110347747803","133.51809692382812","3.797719689625429","M","20","26","162.58423614501953","West Papua Region, Indonesia","BMKG"
"216","bmg2024hpld","2024-04-18T01:24:44.562891Z","1.4635324478149414","126.980224609375","3.1153644252033477","M","108","26","94.64031982421875","Northern Molucca Sea","BMKG"
"217","bmg2024hpkv","2024-04-18T01:15:46.757045Z","-8.826166152954102","123.49140167236328","2.889035900633516","M","10","19","124.33351135253906","Flores Region, Indonesia","BMKG"
"218","bmg2024hpfv","2024-04-17T22:44:02.367175Z","-0.447628915309906","100.23416900634766","2.4798266452344335","M","5","33","149.9873046875","Southern Sumatra, Indonesia","BMKG"
"219","bmg2024hpfr","2024-04-17T22:39:45.218072Z","2.060821533203125","97.85021209716797","2.741579377840171","M","34","22","93.00080108642578","Northern Sumatra, Indonesia","BMKG"
